Provider_Number,Provider_Number,Readm_rate
290032,290032,"0.986506884"
290039,290039,"1.012805392"
290041,290041,"1.017462153"
290046,290046,"0.961060701"
290049,290049,"0"
290054,290054,"1.034882753"
300001,300001,"0.864996425"
300005,300005,"0.905014116"
300012,300012,"1.014727912"
300014,300014,"0.970999774"
300017,300017,"1.039852541"
300018,300018,"0.971674905"
300019,300019,"0.976184169"
300029,300029,"1.06214872"
300034,300034,"0.870322524"
310002,310002,"1.030145116"
310005,310005,"0.937668014"
310008,310008,"1.076423832"
310009,310009,"0.99895762"
310014,310014,"1.190519244"
310024,310024,"1.067411032"
310029,310029,"1.021776044"
310031,310031,"1.075497237"
310034,310034,"1.02794619"
310044,310044,"0.992363871"
310045,310045,"1.030990664"
310047,310047,"1.055095787"
310052,310052,"1.018864677"
310058,310058,"0"
310061,310061,"1.087916296"
310070,310070,"1.075220395"
310073,310073,"1.008034067"
310075,310075,"0.908019928"
310076,310076,"0.996414263"
310083,310083,"1.152005298"
310110,310110,"0.997757048"
310111,310111,"1.067813321"
310112,310112,"0.990941527"
310113,310113,"1.056929881"
310115,310115,"0.99065794"
310118,310118,"0"
320003,320003,"0"
320005,320005,"0.906100544"
320006,320006,"1.0628357"
320009,320009,"0.843281078"
320011,320011,"0"
320016,320016,"0"
320017,320017,"0"
320021,320021,"1.009794615"
320022,320022,"0.990886517"
320030,320030,"0"
320033,320033,"0"
320059,320059,"0"
320061,320061,"0"
320063,320063,"0"
320065,320065,"0"
320074,320074,"0"
320084,320084,"0"
320086,320086,"0.968936576"
330003,330003,"1.054802159"
330014,330014,"1.162159755"
330023,330023,"0.938800651"
330027,330027,"1.065350517"
330028,330028,"1.101629176"
330030,330030,"0.983020203"
330043,330043,"1.050258325"
330049,330049,"0"
330053,330053,"0.980747826"
330058,330058,"0.955256598"
330065,330065,"0.977643223"
330073,330073,"0.949087261"
330078,330078,"1.028621647"
330088,330088,"0"
330090,330090,"1.005221949"
330094,330094,"0.984006435"
330096,330096,"1.005044739"
330102,330102,"1.08023896"
330103,330103,"0.967009535"
330104,330104,"1.132840742"
330106,330106,"1.158246486"
330107,330107,"1.012060914"
330111,330111,"0"
330115,330115,"0"
330125,330125,"0.946612349"
330126,330126,"1.125296899"
330135,330135,"1.029505311"
330141,330141,"0.992607607"
330153,330153,"0.91291144"
330157,330157,"0.96935394"
330162,330162,"1.091746431"
330180,330180,"0.917680496"
330181,330181,"1.066467921"
330191,330191,"0.979583914"
330193,330193,"1.10354389"
330194,330194,"1.029742639"
330195,330195,"1.084220809"
330198,330198,"1.142797056"
330201,330201,"1.0357303"
330203,330203,"1.001695799"
330218,330218,"1.079468724"
330219,330219,"1.041332565"
330221,330221,"1.118703339"
330222,330222,"0.969005901"
330229,330229,"0"
330234,330234,"1.070646029"
330235,330235,"1.052598958"
330236,330236,"1.180112894"
330265,330265,"0"
330268,330268,"0"
330273,330273,"1.088934637"
330285,330285,"1.071754166"
330286,330286,"0.974731472"
330307,330307,"0.902438256"
330331,330331,"1.07624002"
